Id,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Miles,NumStops,Price,HazMat,Pickup
22087655,40.72,-82.88,42.56,-80.32,208.0,2,900.0,0,2021-02-02 16:15:00
22095461,30.32,-94.28,33.92,-96.6,278.0,2,406.0,0,2021-02-19 09:00:00
22095552,34.94,-96.07,32.53,-101.82,414.0,2,736.0,0,2021-02-08 09:15:00
22095763,30.54,-94.85,33.6,-95.61,318.0,2,450.0,0,2021-02-08 09:30:00
22100466,40.0,-85.0,40.0,-85.0,1.0,2,525.0,1,2021-02-09 12:30:00
22100532,33.05,-96.03,29.99,-97.54,305.0,2,425.0,0,2021-02-03 12:45:00
22100604,41.36,-84.03,29.74,-97.26,1315.0,2,2300.0,0,2021-02-12 13:45:00
22100620,41.38,-84.29,26.76,-97.42,1561.0,2,2050.0,0,2021-02-11 13:45:00
22100642,39.6,-87.47,38.65,-88.28,108.0,2,544.0,0,2021-02-09 12:45:00
22102043,40.0,-86.0,40.0,-86.0,10.0,2,500.0,0,2021-02-03 13:00:00
22102045,40.34,-85.25,40.49,-83.24,119.0,2,400.0,0,2021-02-05 13:00:00
22103477,41.66,-84.22,29.58,-97.88,1314.0,2,2076.0,0,2021-02-01 15:00:00
22104242,41.91,-87.58,42.95,-87.52,36.0,2,242.0,0,2021-02-19 15:45:00
22105061,30.6,-94.58,33.83,-96.22,238.0,2,675.0,0,2021-02-01 16:30:00
22106494,42.05,-87.13,32.55,-95.28,937.0,2,2756.0,0,2021-02-04 09:00:00
22107571,41.56,-82.4,30.18,-94.91,1203.0,2,2900.0,0,2021-02-05 02:00:00
22107635,33.42,-96.51,30.61,-95.31,289.0,2,626.0,0,2021-02-01 03:30:00
22107667,35.91,-101.73,41.04,-87.92,1031.0,2,2400.0,0,2021-02-01 03:30:00
22107674,33.64,-95.55,33.85,-96.83,56.0,2,450.0,0,2021-02-01 03:30:00
22109112,30.92,-95.4,33.72,-96.81,260.0,2,600.0,0,2021-02-01 08:15:00
22109438,30.35,-94.67,32.53,-101.23,584.0,2,1900.0,0,2021-02-03 08:30:00
22109560,42.26,-87.81,40.94,-82.1,377.0,2,1225.0,0,2021-02-02 08:30:00
22109561,42.97,-87.45,40.19,-82.66,376.0,2,1100.0,0,2021-02-01 08:30:00
22116421,33.74,-96.66,30.28,-94.27,247.0,2,400.0,1,2021-02-01 12:00:00
22123769,33.54,-96.48,30.6,-94.03,238.0,2,526.0,0,2021-02-02 07:45:00
22125029,42.07,-88.95,42.67,-87.83,88.0,2,450.0,0,2021-02-05 08:45:00
22128307,30.84,-94.07,33.93,-96.69,285.0,2,350.0,0,2021-02-01 11:00:00
22128664,30.76,-94.74,30.78,-94.78,24.0,2,525.0,0,2021-02-01 11:30:00
22129271,40.73,-85.93,33.68,-96.66,852.0,2,2100.0,0,2021-02-02 11:45:00
22129862,40.3,-83.97,30.23,-95.31,1160.0,2,2100.0,0,2021-02-02 12:30:00
22130113,41.84,-87.72,39.41,-86.94,219.0,2,1350.0,0,2021-02-01 12:30:00
22130538,33.28,-96.96,31.47,-95.25,216.0,2,700.0,0,2021-02-01 12:00:00
22130539,33.64,-96.39,31.75,-95.43,216.0,2,750.0,0,2021-02-01 12:00:00
22130540,33.93,-96.97,31.31,-95.21,218.0,2,625.0,0,2021-02-12 12:00:00
22130542,33.08,-96.32,31.1,-95.92,214.0,2,525.0,0,2021-02-16 12:00:00
22130543,33.91,-96.99,31.53,-95.57,214.0,2,425.0,0,2021-02-16 12:00:00
22131891,30.23,-94.43,33.19,-96.55,314.0,3,450.0,0,2021-02-04 13:00:00
22132000,30.43,-94.85,29.04,-97.98,202.0,2,617.0,0,2021-02-02 14:00:00
22132078,33.92,-96.12,30.78,-95.35,284.0,2,600.0,0,2021-02-23 14:15:00
22132083,33.0,-96.39,30.06,-95.39,276.0,2,600.0,0,2021-02-23 14:15:00
22132781,42.75,-88.22,33.57,-96.86,928.0,2,2200.0,0,2021-02-01 15:45:00
22133432,42.23,-88.85,33.51,-96.04,923.0,2,2300.0,0,2021-01-31 16:15:00
22134667,34.23,-95.95,30.91,-95.76,367.0,2,818.0,0,2021-02-08 16:15:00
22134668,34.35,-95.53,30.94,-95.09,365.0,2,705.0,0,2021-02-08 16:15:00
22134813,30.94,-94.9,41.56,-84.72,1176.0,2,2350.0,0,2021-02-01 16:30:00
22135183,30.36,-94.39,40.76,-83.12,1174.0,2,2600.0,0,2021-02-16 16:00:00
22135314,30.77,-94.13,33.25,-96.07,280.0,2,848.0,0,2021-02-10 17:15:00
22135648,39.94,-88.35,33.48,-96.69,757.0,2,1933.0,0,2021-02-12 18:00:00
22136198,28.18,-99.76,29.8,-96.02,190.0,2,578.0,0,2021-02-22 23:45:00
22137289,39.43,-84.52,39.41,-84.63,39.0,3,346.0,0,2021-02-01 07:30:00
22137820,42.36,-87.77,40.8,-82.81,373.0,2,1300.0,0,2021-02-04 07:00:00
22138650,39.06,-89.39,42.71,-87.81,263.0,2,890.0,0,2021-02-02 09:30:00
22141496,30.8,-97.59,31.54,-94.08,264.0,2,1095.0,0,2021-02-04 10:00:00
22143356,42.61,-87.04,33.74,-96.79,965.0,3,3104.0,0,2021-02-05 12:00:00
22143620,42.52,-87.54,40.28,-82.29,323.0,2,1450.0,0,2021-02-18 12:15:00
22143703,41.97,-84.37,40.4,-82.4,154.0,2,822.0,0,2021-02-02 12:15:00
22144550,32.93,-105.99,39.34,-83.93,1526.0,2,3700.0,0,2021-02-04 12:00:00
22144553,32.67,-105.24,39.96,-83.02,1519.0,2,3800.0,0,2021-02-04 12:00:00
